"surgery" "Age" "rectal_temperature" "pulse" "respiratory_rate" "temp_extremities" "peripheral_pulse" "mucous_membranes" "capillary_refill_time" "pain" "peristalsis" "abdominal_distension" "nasogastric_tube" "nasogastric_reflux" "nasogastric_reflux_PH" "rectal_examination" "abdomen" "packed_cell_volume" "total_protein" "abdominocentesis_appearance" "abdomcentesis_total_protein" "outcome" "surgical_lesion"
"yes" "adult" 37.7 44 28 NA "absent" "pale_pink" ">=3" "continuous_severe_pain" "absent" "severe" "none" "none" NA "decreased" "distended_large_intestine" 45 70 "serosanguinous" 2 "lived" "yes"
"yes" "adult" 37 56 24 "cool" "normal" "pale_cyanotic" ">=3" "intermittent_severe_pain" "absent" "moderate" "none" "none" NA NA NA 35 61 "serosanguinous" 2 "euthanized" "no"
"no" "adult" 38 42 12 "cool" NA "pale_pink" "<3" "alert_no_pain" NA "none" NA NA NA NA "other" 37 5.8 NA NA "lived" "no"
"yes" "adult" NA 60 40 "cool" NA "normal_pink" "<3" NA "absent" NA "significant" ">1l" NA NA "distended_large_intestine" 42 72 NA NA "lived" "yes"
"no" "adult" 38.4 80 60 "cool" "increased" "bright_pink" "<3" "intermittent_mild_pain" "normal" "none" "slight" ">1l" NA "normal" "normal" 54 6.9 NA NA "lived" "no"
"no" "adult" 37.8 48 12 "warm" "normal" "bright_pink" "<3" "intermittent_mild_pain" NA "none" "slight" NA NA "increased" NA 48 7.3 "clear" NA "lived" "no"
NA "adult" 38 65 40 NA "normal" "pale_cyanotic" ">=3" "depressed" NA NA NA NA NA NA "distended_large_intestine" NA NA NA NA NA "yes"
"no" "adult" 37.9 45 36 "cool" "reduced" "pale_pink" ">=3" "depressed" "hypomotile" "none" "slight" "none" NA "decreased" NA 33 5.7 "serosanguinous" NA "lived" "yes"
"no" "adult" 39 84 12 "cool" "normal" "bright_red" "<3" "depressed" "absent" "slight" "none" ">1l" 7 NA "distended_small_intestine" 62 5.9 "cloudy" 2.2 "died" "yes"
"no" "adult" 38.2 60 24 "cool" "normal" "pale_pink" ">=3" "intermittent_mild_pain" "hypomotile" "slight" "significant" "<1l" NA "absent" "distended_small_intestine" 53 7.5 "cloudy" 1.4 "lived" "no"
"yes" "adult" NA 140 NA NA NA "pale_cyanotic" ">=3" "continuous_severe_pain" "absent" "severe" "none" "none" NA NA "distended_large_intestine" 30 69 NA NA "died" "no"
"yes" "adult" 37.9 120 60 "cool" "reduced" "pale_pink" "<3" "continuous_severe_pain" "absent" "severe" "slight" ">1l" 7.5 "absent" "distended_large_intestine" 52 6.6 "serosanguinous" 1.8 "died" "yes"
"no" "adult" 38 72 36 "normal" "normal" "pale_pink" "<3" "intermittent_mild_pain" NA "slight" "slight" "none" NA "decreased" "distended_large_intestine" 38 6.8 "cloudy" 2 "lived" "no"
"no" "young" 38 92 28 "normal" "normal" "bright_pink" "<3" "alert_no_pain" "hypomotile" "slight" "significant" NA 7.2 NA NA 37 6.1 "clear" 1.1 "lived" "no"
"yes" "adult" 38.3 66 30 "warm" "reduced" "normal_pink" "<3" "depressed" "absent" "moderate" "significant" ">1l" 8.5 "absent" "distended_large_intestine" 37 6 NA NA "lived" "yes"
"no" "adult" 37.5 48 24 "cool" "normal" "normal_pink" "<3" "depressed" "hypermotile" NA "none" "none" NA "decreased" "other" 43 6 "clear" 2.8 "lived" "no"
"yes" "adult" 37.5 88 20 "warm" "reduced" "pale_pink" "<3" "intermittent_severe_pain" "hypomotile" "moderate" NA NA NA NA NA 35 6.4 "clear" NA "died" "yes"
"no" "young" NA 150 60 "cold" "absent" "pale_cyanotic" ">=3" "continuous_severe_pain" "absent" "severe" NA NA NA NA NA NA NA NA NA "died" "yes"
"yes" "adult" 39.7 100 30 NA NA "dark_cyanotic" ">=3" "intermittent_severe_pain" "absent" "moderate" "none" NA NA "absent" "distended_large_intestine" 65 75 NA NA "euthanized" "yes"
"yes" "adult" 38.3 80 NA "cool" "reduced" "pale_cyanotic" ">=3" "continuous_severe_pain" "absent" "moderate" "slight" "none" NA "absent" "distended_small_intestine" 45 7.5 "cloudy" 4.6 "lived" "yes"
"no" "adult" 37.5 40 32 "cool" "normal" "pale_pink" "<3" "intermittent_mild_pain" "normal" "moderate" "slight" "none" NA NA "distended_large_intestine" 32 6.4 "clear" 1.1 "lived" "yes"
"yes" "adult" 38.4 84 30 "cool" "normal" "bright_red" ">=3" "intermittent_severe_pain" "hypomotile" "moderate" "slight" "<1l" 6.5 "absent" "distended_small_intestine" 47 7.5 "serosanguinous" NA "died" "yes"
"yes" "adult" 38.1 84 44 "cold" NA "pale_cyanotic" ">=3" "continuous_severe_pain" "hypomotile" "none" "none" "<1l" 5 NA "distended_small_intestine" 60 6.8 NA 5.7 "died" "yes"
"no" "adult" 38.7 52 NA "normal" "normal" "normal_pink" "<3" "alert_no_pain" "hypomotile" "none" NA NA NA "normal" "firm_feces_in_large_intestine" 4 74 NA NA "lived" "no"
"no" "adult" 38.1 44 40 "warm" "normal" "pale_pink" "<3" "intermittent_mild_pain" "hypomotile" "none" NA NA NA "normal" "firm_feces_in_large_intestine" 35 6.8 NA NA "lived" "no"
"no" "adult" 38.4 52 20 "warm" "normal" "pale_pink" "<3" "alert_no_pain" "hypomotile" "slight" "slight" "none" NA "decreased" "distended_large_intestine" 41 63 "clear" 1 "lived" "no"
"yes" "adult" 38.2 60 NA "normal" NA "pale_pink" "<3" "depressed" "hypermotile" "none" "none" "none" NA "absent" "distended_small_intestine" 43 6.2 "cloudy" 3.9 "lived" "yes"
"no" "adult" 37.7 40 18 "normal" "normal" "normal_pink" NA "intermittent_mild_pain" "normal" "none" "none" "none" NA "decreased" "firm_feces_in_large_intestine" 36 3.5 NA NA "lived" "no"
"yes" "adult" 39.1 60 10 NA "normal" "normal_pink" NA "depressed" "hypomotile" NA NA NA NA "absent" "distended_small_intestine" NA NA NA NA "lived" "yes"
"no" "adult" 37.8 48 16 "normal" "normal" "normal_pink" "<3" NA "hypermotile" "none" "slight" "none" NA "absent" "firm_feces_in_large_intestine" 43 7.5 NA NA "lived" "no"
"yes" "adult" 39 120 NA "cold" "reduced" "bright_red" ">=3" "depressed" "absent" "moderate" "slight" "<1l" 8 NA NA 65 8.2 "serosanguinous" 4.6 "lived" "no"
"yes" "adult" 38.2 76 NA "warm" "reduced" "bright_pink" "<3" "continuous_severe_pain" "hypomotile" "moderate" "none" ">1l" 6 "normal" "distended_large_intestine" 35 6.5 "cloudy" 0.9 "lived" "yes"
"no" "adult" 38.3 88 NA NA NA "dark_cyanotic" NA NA NA NA NA NA NA NA NA NA NA NA NA "died" "no"
"yes" "adult" 38 80 30 "cool" "reduced" "pale_pink" "<3" NA NA NA NA NA 6 NA NA 48 8.3 NA 4.3 "lived" "yes"
"yes" "adult" NA NA NA "cool" "normal" "normal_pink" "<3" "depressed" "hypomotile" "moderate" "none" "<1l" 6 "absent" "distended_small_intestine" NA NA "cloudy" NA "died" "yes"
"yes" "adult" 37.6 40 NA "normal" "normal" "normal_pink" "<3" "alert_no_pain" "hypermotile" "none" NA NA NA "normal" "normal" NA NA "cloudy" 2.1 "lived" "yes"
"no" "adult" 37.5 44 NA "normal" "normal" "normal_pink" "<3" "intermittent_mild_pain" "hypomotile" "slight" NA NA NA NA NA 45 5.8 "cloudy" 1.4 "lived" "no"
"no" "adult" 38.2 42 16 "normal" "normal" "pale_pink" "<3" "alert_no_pain" "hypomotile" "none" NA NA NA "normal" NA 35 60 "clear" 1 "lived" "no"
"no" "adult" 38 56 44 "cool" "reduced" "pale_pink" NA NA "hypermotile" "none" "slight" "none" NA "absent" NA 47 70 "cloudy" 1 "lived" "no"
"no" "adult" 38.3 45 20 "cool" "reduced" "bright_pink" ">=3" "depressed" "absent" "none" "slight" NA NA "absent" NA NA NA NA NA "lived" "no"
"yes" "adult" NA 48 96 "normal" "normal" "pale_pink" "<3" NA "absent" "none" "slight" "none" NA "normal" "distended_small_intestine" 42 8 "clear" NA "lived" "yes"
"yes" "adult" 37.7 55 28 "warm" "normal" "bright_pink" "<3" "depressed" "hypomotile" "moderate" NA "<1l" 5 "absent" "distended_large_intestine" NA NA NA NA "lived" "yes"
"no" "adult" 36 100 20 "cold" "reduced" "dark_cyanotic" ">=3" "depressed" "absent" "moderate" "none" "none" NA "absent" "distended_large_intestine" 74 5.7 "cloudy" 2.5 "euthanized" "yes"
"yes" "adult" 37.1 60 20 "warm" NA "pale_cyanotic" "<3" "intermittent_mild_pain" NA "moderate" NA ">1l" 5 "decreased" "distended_small_intestine" 64 8.5 "cloudy" NA "lived" "yes"
"no" "adult" 37.1 114 40 "cool" NA "pale_pink" ">=3" "depressed" "normal" "none" NA NA NA NA "firm_feces_in_large_intestine" 32 NA "serosanguinous" 6.5 "lived" "no"
"yes" "adult" 38.1 72 30 "cool" "reduced" "pale_pink" "<3" "intermittent_severe_pain" "absent" "moderate" "slight" "none" NA "decreased" "distended_large_intestine" 37 56 "serosanguinous" 1 "lived" "yes"
"yes" "adult" 37 44 12 "cool" "normal" "normal_pink" ">=3" "alert_no_pain" "hypermotile" "none" NA NA NA "absent" "other" 40 6.7 "serosanguinous" 8 "lived" "yes"
"yes" "adult" 38.6 48 20 "cool" "normal" "normal_pink" "<3" "intermittent_severe_pain" "hypomotile" "none" NA NA NA "decreased" NA 37 75 NA NA "lived" "yes"
"yes" "adult" NA 82 72 "cool" "normal" "pale_cyanotic" "<3" "depressed" "hypomotile" "moderate" NA "<1l" NA "absent" "distended_small_intestine" 53 65 "serosanguinous" 2 "euthanized" "yes"
"yes" "young" 38.2 78 60 "cold" "absent" "dark_cyanotic" NA "intermittent_mild_pain" "hypomotile" "moderate" NA NA NA "normal" NA 59 5.8 "serosanguinous" 3.1 "died" "yes"
"no" "adult" 37.8 60 16 "normal" "normal" "pale_pink" "<3" "depressed" "hypomotile" "slight" "none" ">1l" NA "decreased" NA 41 73 NA NA "euthanized" "no"
"yes" "adult" 38.7 34 30 "warm" NA "pale_pink" "<3" "depressed" "hypomotile" NA NA NA NA NA NA 33 69 NA 2 "euthanized" "yes"
"yes" "adult" NA 36 12 "normal" "normal" "normal_pink" "<3" "alert_no_pain" "normal" "none" "none" "none" NA "normal" "distended_large_intestine" 44 NA NA NA "lived" "yes"
"no" "adult" 38.3 44 60 NA NA "normal_pink" "<3" NA NA NA NA NA NA NA NA 6.4 36 NA NA "lived" "yes"
"no" "adult" 37.4 54 18 "cool" NA "normal_pink" "<3" "intermittent_mild_pain" "absent" "moderate" "slight" ">1l" NA "absent" "distended_large_intestine" 30 7.1 "cloudy" NA "lived" "yes"
"yes" "adult" NA NA NA "cold" "reduced" NA ">=3" "depressed" "absent" "none" NA NA NA NA NA 54 76 "serosanguinous" 2 "lived" "yes"
"yes" "adult" 36.6 48 16 "cool" "normal" "pale_pink" "<3" "intermittent_severe_pain" "hypermotile" "none" "none" "none" NA NA NA 27 56 NA NA "euthanized" "yes"
"yes" "adult" 38.5 90 NA "normal" "normal" "pale_pink" "<3" "intermittent_mild_pain" "hypomotile" "moderate" "slight" "<1l" 2 "absent" "distended_large_intestine" 47 79 NA NA "lived" "yes"
"yes" "adult" NA 75 12 "normal" "normal" "pale_cyanotic" "<3" "continuous_severe_pain" "hypomotile" "moderate" NA "<1l" 5.8 NA NA 58 8.5 "clear" NA "lived" "yes"
"no" "adult" 38.2 42 NA "cool" "normal" "normal_pink" "<3" "alert_no_pain" "hypermotile" "slight" "slight" "none" NA "decreased" "other" 35 5.9 "cloudy" NA "lived" "no"
"yes" "young" 38.2 78 60 "cold" "absent" "dark_cyanotic" NA "intermittent_mild_pain" "hypomotile" "moderate" NA NA NA "normal" NA 59 5.8 "serosanguinous" 3.1 "died" "yes"
"no" "adult" 38.6 60 30 "normal" "normal" "pale_pink" "<3" "intermittent_severe_pain" "normal" "slight" "none" "none" NA NA NA 40 6 "clear" NA "lived" "yes"
"no" "adult" 37.8 42 40 "normal" "normal" "normal_pink" "<3" "alert_no_pain" "hypomotile" "none" NA NA NA "decreased" "firm_feces_in_large_intestine" 36 6.2 NA NA "lived" "no"
"yes" "adult" 38 60 12 "normal" "normal" "bright_pink" "<3" "depressed" "hypermotile" "none" "none" "none" NA "normal" "distended_small_intestine" 44 65 "serosanguinous" 2 "euthanized" "yes"
"no" "adult" 38 42 12 "cool" NA "pale_pink" "<3" "alert_no_pain" "hypermotile" "none" NA NA NA NA "normal" 37 5.8 NA NA "lived" "no"
"no" "adult" 37.6 88 36 "cool" "normal" "normal_pink" "<3" "intermittent_mild_pain" "hypomotile" "slight" "none" "<1l" 1.5 NA NA 44 6 NA NA "died" "yes"
